loc_1,Latitude_1,Longitude_1,loc_2,Latitude_2,Longitude_2,Total,Class,loc,lat,lon,loc_bl,lat_bl,lon_bl,loc_br,lat_br,lon_br,loc_tl,lat_tl,lon_tl,loc_tr,lat_tr,lon_tr,
KLIA,2.74,101.7,ALOR SETAR,6.19,100.4,438071.00,"250,000 - 1,000,000",ALOR SETAR,6.19,100.4,,,,,,,,,,ALOR SETAR,6.19,100.4,TRUE
KLIA,2.74,101.7,JOHOR BAHRU,1.64,103.67,659327.00,"250,000 - 1,000,000",JOHOR BAHRU,1.64,103.67,JOHOR BAHRU,1.64,103.67,,,,,,,,,,TRUE
KLIA,2.74,101.7,KOTA BHARU,6.17,102.29,1142222.00,"1,000,000 - 2,750,000",KOTA BHARU,6.17,102.29,,,,,,,,,,KOTA BHARU,6.17,102.29,FALSE
KLIA,2.74,101.7,KOTA KINABALU,5.92,116.05,2710476.00,"1,000,000 - 2,750,000",KOTA KINABALU,5.92,116.05,,,,,,,KOTA KINABALU,5.92,116.05,,,,TRUE
KLIA,2.74,101.7,TERENGGANU,5.38,103.11,452316.00,"250,000 - 1,000,000",TERENGGANU,5.38,103.11,,,,,,,,,,TERENGGANU,5.38,103.11,FALSE
KLIA,2.74,101.7,KUANTAN,3.78,103.22,141178.00,"100,000 - 250,000",KUANTAN,3.78,103.22,,,,KUANTAN,3.78,103.22,,,,,,,TRUE
KLIA,2.74,101.7,KUCHING,1.49,110.34,2317681.00,"1,000,000 - 2,750,000",KLIA,2.74,101.7,KLIA,2.74,101.70,,,,,,,,,,TRUE
KLIA,2.74,101.7,LABUAN,5.3,115.25,252564.00,"250,000 - 1,000,000",LABUAN,5.3,115.25,,,,,,,LABUAN,5.30,115.25,,,,TRUE
KLIA,2.74,101.7,LANGKAWI,6.34,99.73,1716357.00,"1,000,000 - 2,750,000",LANGKAWI,6.34,99.73,,,,,,,LANGKAWI,6.34,99.73,,,,TRUE
KLIA,2.74,101.7,MIRI,4.32,113.99,822044.00,"250,000 - 1,000,000",MIRI,4.32,113.99,,,,,,,MIRI,4.32,113.99,,,,TRUE
KLIA,2.74,101.7,PULAU PINANG,5.3,100.28,1725624.00,"1,000,000 - 2,750,000",PULAU PINANG,5.3,100.28,PULAU PINANG,5.30,100.28,,,,,,,,,,TRUE
KLIA,2.74,101.7,SIBU,2.26,111.99,667258.00,"250,000 - 1,000,000",SIBU,2.26,111.99,,,,SIBU,2.26,111.99,,,,,,,TRUE
KLIA,2.74,101.7,TAWAU,4.31,118.11,840621.00,"250,000 - 1,000,000",TAWAU,4.31,118.11,,,,TAWAU,4.31,118.11,,,,,,,TRUE
JOHOR BAHRU,1.64,103.67,SUBANG,3.13,101.55,173990.00,"100,000 - 250,000",SUBANG,3.13,101.55,SUBANG,3.13,101.55,,,,,,,,,,TRUE
JOHOR BAHRU,1.64,103.67,PULAU PINANG,5.3,100.28,662609.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,FALSE
JOHOR BAHRU,1.64,103.67,ALOR SETAR,6.19,100.4,50479.00,"0 - 100,000",,,,,,,,,,,,,,,,TRUE
JOHOR BAHRU,1.64,103.67,LANGKAWI,6.34,99.73,63730.00,"0 - 100,000",,,,,,,,,,,,,,,,FALSE
JOHOR BAHRU,1.64,103.67,IPOH,4.57,101.09,117277.00,"100,000 - 250,000",IPOH,4.57,101.09,,,,,,,,,,IPOH,4.57,101.09,FALSE
JOHOR BAHRU,1.64,103.67,SIBU,2.26,111.99,110946.00,"100,000 - 250,000",,,,,,,,,,,,,,,,TRUE
JOHOR BAHRU,1.64,103.67,TAWAU,4.31,118.11,66986.00,"0 - 100,000",,,,,,,,,,,,,,,,FALSE
JOHOR BAHRU,1.64,103.67,KOTA BHARU,6.17,102.29,43695.00,"0 - 100,000",,,,,,,,,,,,,,,,TRUE
PULAU PINANG,5.3,100.28,LANGKAWI,6.34,99.73,382817.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,FALSE
KOTA KINABALU,5.92,116.05,JOHOR BAHRU,1.64,103.67,247443.00,"100,000 - 250,000",,,,,,,,,,,,,,,,FALSE
KOTA KINABALU,5.92,116.05,TAWAU,4.31,118.11,771965.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,FALSE
KOTA KINABALU,5.92,116.05,LABUAN,5.3,115.25,120466.00,"100,000 - 250,000",,,,,,,,,,,,,,,,TRUE
KOTA KINABALU,5.92,116.05,LAHAD DATU,5.08,118.3,133593.00,"100,000 - 250,000",LAHAD DATU,5.08,118.3,,,,,,,,,,LAHAD DATU,5.08,118.3,
KOTA KINABALU,5.92,116.05,MIRI,4.32,113.99,201147.00,"100,000 - 250,000",,,,,,,,,,,,,,,,
KOTA KINABALU,5.92,116.05,SIBU,2.26,111.99,110906.00,"100,000 - 250,000",,,,,,,,,,,,,,,,
KOTA KINABALU,5.92,116.05,KUCHING,1.49,110.34,457580.00,"250,000 - 1,000,000",KUCHING,1.49,110.34,,,,KUCHING,1.49,110.34,,,,,,,
KUCHING,1.49,110.34,JOHOR BAHRU,1.64,103.67,316462.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,
KUCHING,1.49,110.34,PULAU PINANG,5.3,100.28,199808.00,"100,000 - 250,000",,,,,,,,,,,,,,,,
BINTULU,3.12,113.02,MIRI,4.32,113.99,19971.00,"0 - 100,000",,,,,,,,,,,,,,,,
MIRI,4.32,113.99,LABUAN,5.3,115.25,95507.00,"0 - 100,000",,,,,,,,,,,,,,,,
MIRI,4.32,113.99,JOHOR BAHRU,1.64,103.67,34944.00,"0 - 100,000",,,,,,,,,,,,,,,,
BINTULU,3.12,113.02,MUKAH,2.89,112.04,621.00,"0 - 100,000",,,,,,,,,,,,,,,,
KOTA KINABALU,5.92,116.05,SANDAKAN,5.9,118.06,462578.00,"250,000 - 1,000,000",SANDAKAN,5.9,118.06,,,,,,,,,,SANDAKAN,5.9,118.06,
KOTA KINABALU,5.92,116.05,BINTULU,3.12,113.02,65278.00,"0 - 100,000",BINTULU,3.12,113.02,,,,BINTULU,3.12,113.02,,,,,,,
LAWAS,4.85,115.41,KOTA KINABALU,5.92,116.05,972.00,"0 - 100,000",,,,,,,,,,,,,,,,
LIMBANG,4.81,115.01,KOTA KINABALU,5.92,116.05,3097.00,"0 - 100,000",LIMBANG,4.81,115.01,,,,LIMBANG,4.81,115.01,,,,,,,
MIRI,4.32,113.99,BARIO,3.73,115.48,12309.00,"0 - 100,000",BARIO,3.73,115.48,,,,BARIO,3.73,115.48,,,,,,,
SANDAKAN,5.9,118.06,TAWAU,4.31,118.11,25048.00,"0 - 100,000",,,,,,,,,,,,,,,,
KUCHING,1.49,110.34,BINTULU,3.12,113.02,389401.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,
KUCHING,1.49,110.34,MIRI,4.32,113.99,623032.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,
KUCHING,1.49,110.34,SIBU,2.26,111.99,510025.00,"250,000 - 1,000,000",,,,,,,,,,,,,,,,
KUCHING,1.49,110.34,MUKAH,2.89,112.04,50743.00,"0 - 100,000",,,,,,,,,,,,,,,,
LAWAS,4.85,115.41,MIRI,4.32,113.99,43927.00,"0 - 100,000",LAWAS,4.85,115.41,,,,,,,,,,LAWAS,4.85,115.41,
LIMBANG,4.81,115.01,MIRI,4.32,113.99,53899.00,"0 - 100,000",,,,,,,,,,,,,,,,
LIMBANG,4.81,115.01,LAWAS,4.85,115.41,1148.00,"0 - 100,000",,,,,,,,,,,,,,,,
MARUDI,4.18,114.33,MIRI,4.32,113.99,7518.00,"0 - 100,000",MARUDI,4.18,114.33,,,,,,,,,,MARUDI,4.18,114.33,
MIRI,4.32,113.99,MULU,4.05,114.81,38039.00,"0 - 100,000",MULU,4.05,114.81,,,,,,,,,,MULU,4.05,114.81,
MIRI,4.32,113.99,SIBU,2.26,111.99,84764.00,"0 - 100,000",,,,,,,,,,,,,,,,
MUKAH,2.89,112.04,MIRI,4.32,113.99,7583.00,"0 - 100,000",,,,,,,,,,,,,,,,
MUKAH,2.89,112.04,SIBU,2.26,111.99,1501.00,"0 - 100,000",MUKAH,2.89,112.04,,,,,,,MUKAH,2.89,112.04,,,,
SIBU,2.26,111.99,BINTULU,3.12,113.02,17240.00,"0 - 100,000",,,,,,,,,,,,,,,,
