loc,lat,lon,loc_bl,lat_bl,lon_bl,loc_br,lat_br,lon_br,loc_tl,lat_tl,lon_tl,loc_tr,lat_tr,lon_tr
ALOR SETAR,6.19,100.4,KLIA,2.74,101.70,TAWAU,4.31,118.11,MUKAH,2.89,112.04,KOTA BHARU,6.17,102.29
BARIO,3.73,115.48,SUBANG,3.13,101.55,LIMBANG,4.81,115.01,MIRI,4.32,113.99,TERENGGANU,5.38,103.11
BINTULU,3.12,113.02,JOHOR BAHRU,1.64,103.67,BARIO,3.73,115.48,KOTA KINABALU,5.92,116.05,IPOH,4.57,101.09
IPOH,4.57,101.09,PULAU PINANG,5.30,100.28,BINTULU,3.12,113.02,LABUAN,5.30,115.25,MULU,4.05,114.81
JOHOR BAHRU,1.64,103.67,,,,SIBU,2.26,111.99,LANGKAWI,6.34,99.73,MARUDI,4.18,114.33
KLIA,2.74,101.7,,,,KUCHING,1.49,110.34,,,,LAWAS,4.85,115.41
KOTA BHARU,6.17,102.29,,,,KUANTAN,3.78,103.22,,,,LAHAD DATU,5.08,118.3
KOTA KINABALU,5.92,116.05,,,,,,,,,,SANDAKAN,5.9,118.06
KUANTAN,3.78,103.22,,,,,,,,,,ALOR SETAR,6.19,100.4
KUCHING,1.49,110.34,,,,,,,,,,,,
LABUAN,5.3,115.25,,,,,,,,,,,,
LAHAD DATU,5.08,118.3,,,,,,,,,,,,
LANGKAWI,6.34,99.73,,,,,,,,,,,,
LAWAS,4.85,115.41,,,,,,,,,,,,
LIMBANG,4.81,115.01,,,,,,,,,,,,
MARUDI,4.18,114.33,,,,,,,,,,,,
MIRI,4.32,113.99,,,,,,,,,,,,
MUKAH,2.89,112.04,,,,,,,,,,,,
MULU,4.05,114.81,,,,,,,,,,,,
PULAU PINANG,5.3,100.28,,,,,,,,,,,,
SANDAKAN,5.9,118.06,,,,,,,,,,,,
SIBU,2.26,111.99,,,,,,,,,,,,
SUBANG,3.13,101.55,,,,,,,,,,,,
TAWAU,4.31,118.11,,,,,,,,,,,,
TERENGGANU,5.38,103.11,,,,,,,,,,,,
