Airports,Year,Total
KLIA,2014,48571834.00
KLIA,2015,48617226.00
KLIA,2016,52424244.00
KLIA,2017,58463343.00
KLIA,2018,59888169.00
KLIA,2019,62257422.00
KLIA,2020,13120278.00
KLIA,2021,3946113.00
KLIA,2022,25229483.00
KLIA,2023,47184548.00
PULAU PINANG,2014,6036326.00
PULAU PINANG,2015,6251955.00
PULAU PINANG,2016,6661225.00
PULAU PINANG,2017,7188238.00
PULAU PINANG,2018,7771548.00
PULAU PINANG,2019,8318772.00
PULAU PINANG,2020,1814940.00
PULAU PINANG,2021,541376.00
PULAU PINANG,2022,4275123.00
PULAU PINANG,2023,6780019.00
KOTA KINABALU,2014,6785957.00
KOTA KINABALU,2015,6568371.00
KOTA KINABALU,2016,7263224.00
KOTA KINABALU,2017,8006446.00
KOTA KINABALU,2018,8622119.00
KOTA KINABALU,2019,9444570.00
KOTA KINABALU,2020,2301918.00
KOTA KINABALU,2021,1110996.00
KOTA KINABALU,2022,5022756.00
KOTA KINABALU,2023,7042171.00
KUCHING,2014,4830778.00
KUCHING,2015,4758089.00
KUCHING,2016,4911331.00
KUCHING,2017,5086208.00
KUCHING,2018,5559092.00
KUCHING,2019,5955776.00
KUCHING,2020,1779588.00
KUCHING,2021,840133.00
KUCHING,2022,4340070.00
KUCHING,2023,5331723.00
LANGKAWI,2014,2221997.00
LANGKAWI,2015,2336177.00
LANGKAWI,2016,2655271.00
LANGKAWI,2017,2767707.00
LANGKAWI,2018,2735262.00
LANGKAWI,2019,2945924.00
LANGKAWI,2020,966781.00
LANGKAWI,2021,761684.00
LANGKAWI,2022,2240416.00
LANGKAWI,2023,2501794.00
JOHOR BAHRU,2014,2325816.00
JOHOR BAHRU,2015,2581966.00
JOHOR BAHRU,2016,2828074.00
JOHOR BAHRU,2017,3124799.00
JOHOR BAHRU,2018,3522576.00
JOHOR BAHRU,2019,4270144.00
JOHOR BAHRU,2020,1084870.00
JOHOR BAHRU,2021,370852.00
JOHOR BAHRU,2022,2216136.00
JOHOR BAHRU,2023,3010018.00
KOTA BHARU,2014,1800836.00
KOTA BHARU,2015,2063745.00
KOTA BHARU,2016,2062248.00
KOTA BHARU,2017,1988212.00
KOTA BHARU,2018,1688625.00
KOTA BHARU,2019,1823089.00
KOTA BHARU,2020,711257.00
KOTA BHARU,2021,501375.00
KOTA BHARU,2022,1384903.00
KOTA BHARU,2023,1583288.00
IPOH,2014,98768.00
IPOH,2015,222606.00
IPOH,2016,269696.00
IPOH,2017,274146.00
IPOH,2018,315673.00
IPOH,2019,457231.00
IPOH,2020,100585.00
